mgi_symbol uniprotswissprot
ATF2 P16951
SMARCAD1 Q04692
BCLAF1 Q8K019
RBMX Q9WV02
BATF3 Q9D275
ATF3 Q60765
THRAP3 Q569Z6
WBP11 Q923D5
MYB P06876
HOXD13 P70217
SND1 Q78PY7
BIN1 O08539
PRDM5 Q9CXE0
GABPA Q00422
TBPL1 P62340
RBM14 Q8C2Q3
HIF1A Q61221
KLF4 Q60793
BTF3 Q64152
DNMT3A O88508
HSF2BP Q9D4G2
ING1 Q9QXV3
FEM1B Q9Z2G0
CTNNBL1 Q9CWL8
NFE2L2 Q60795
ZEB1 Q64318
TAF7 Q9R1C0
BARX1 Q9ER42
SUZ12 Q80U70
SIN3B Q62141
SIRT7 Q8BKJ9
TAF6L Q8R2K4
PIAS1 O88907
MCM5 P49718
GTF2B P62915
GBX2 P48031
BACH2 P97303
HDAC3 O88895
MED12 A2AGH6
MPHOSPH8 Q3TYA6
RCOR2 Q8C796
IRF5 P56477
NFKBIA Q9Z1E3
NR1D2 Q60674
TCF7 Q00417
THRB P37242
RARB P22605
NONO Q99K48
TOP2B Q64511
SMARCB1 Q9Z0H3
LMO4 P61969
SMAD3 Q8BUN5
ANKRD6 Q69ZU8
ZFP36L1 P23950
PLAG1 Q9QYE0
GATA1 P17679
YEATS2 Q3TUF7
FOXQ1 O70220
ZFP57 Q8C6P8
GABBR1 Q9WV18
ELK1 P41969
SMARCC1 P97496
BLZF1 Q8R2X8
TCF7L2 Q924A0
BUB3 Q9WVA3
DEK Q7TNV0
POLR2D Q9D7M8
E2F6 O54917
CBX6 Q9DBY5
TFE3 Q64092
TOPORS Q80Z37
CBX7 Q8VDS3
AIRE Q9Z0E3
GTF2E2 Q9D902
PCBD2 Q9CZL5
SRSF6 Q3TWW8
CIC Q924A2
HES6 Q9JHE6
CBFB Q08024
PPARGC1A O70343
EGR1 P08046
NFX1 B1AY10
MYBL2 P48972
HDAC4 Q6NZM9
FOXH1 O88621
TAF9 Q8VI33
ZSCAN10 Q3URR7
APEX1 P28352
HCFC1 Q61191
ABL1 P00520
RAD54B Q6PFE3
E2F4 Q8R0K9
HNF4A P49698
RUNX1T1 Q61909
HES1 P35428
TUBA1A P68369
USF2 Q64705
UPF1 Q9EPU0
POU5F1 P20263
IRF4 Q64287
ATF1 P81269
GTF2H4 O70422
CREB3L2 Q8BH52
TRIM24 Q64127
RAG2 P21784
PBX1 P41778
DAZAP2 Q9DCP9
BMP4 P21275
RBPJ P31266
NR2F6 P43136
MED4 Q9CQA5
NR4A1 P12813
TLE2 Q9WVB2
TBL1X Q9QXE7
MEN1 O88559
CSRP3 P50462
E2F8 Q58FA4
SMARCD1 Q61466
MECOM P14404
SF1 Q64213
GNRH1 P13562
AATF Q9JKX4
EIF5B Q05D44
ZFP335 A2A5K6
